pin,name,type
1,PL3A/BANK5/T/L_GPLLT_FB,bidirectional
2,PL3B/BANK5/C/L_GPLLC_FB,bidirectional
3,PL4A/BANK5/T/L_GPLLT_IN,bidirectional
4,PL4B/BANK5/C/L_GPLLC_IN,bidirectional
5,PL6A/BANK5/T/PCLKT5_0,bidirectional
6,PL6B/BANK5/C/PCLKC5_0,bidirectional
7,VCCIO5,power_in
8,GND,power_in
9,PL8A/BANK5/T,bidirectional
10,PL8B/BANK5/C,bidirectional
11,PL9A/BANK5/T,bidirectional
12,PL9B/BANK5/C,bidirectional
13,PL10A/BANK4/T,bidirectional
14,PL10B/BANK4/C,bidirectional
15,PL11A/BANK4/T,bidirectional
16,VCCIO4,power_in
17,PL11B/BANK4/C,bidirectional
18,GND,power_in
19,PL12A/BANK4/T/PCLKT4_0,bidirectional
20,PL12B/BANK4/C/PCLKC4_0,bidirectional
21,PL15A/BANK4/T,bidirectional
22,PL15B/BANK4/C,bidirectional
23,PL17A/BANK4/T,bidirectional
24,PL17B/BANK4/C,bidirectional
25,PL19A/BANK3/T,bidirectional
26,PL19B/BANK3/C,bidirectional
27,PL22A/BANK3/T/PCLKT3_0,bidirectional
28,PL22B/BANK3/C/PCLKC3_0,bidirectional
29,GND,power_in
30,VCCIO3,power_in
31,PL23D/BANK3,bidirectional
32,PL24A/BANK3/T,bidirectional
33,PL24B/BANK3/C,bidirectional
34,PL25A/BANK3/T,bidirectional
35,PL25B/BANK3/C,bidirectional
36,VCC,power_in
37,VCCIO2,power_in
38,PB4A/BANK2/T,bidirectional
39,PB4B/BANK2/C,bidirectional
40,PB6A/BANK2/T/CSSPIN,bidirectional
41,PB6B/BANK2/C,bidirectional
42,PB9A/BANK2/T,bidirectional
43,PB9B/BANK2/C,bidirectional
44,PB12A/BANK2/T/MCLK/CCLK,bidirectional
45,PB12B/BANK2/C/SO/SPISO,bidirectional
46,GND,power_in
47,PB13A/BANK2/T,bidirectional
48,PB13B/BANK2/C,bidirectional
49,PB16A/BANK2/T/PCLKT2_0,bidirectional
50,PB16B/BANK2/C/PCLKC2_0,bidirectional
51,VCCIO2,power_in
52,PB18A/BANK2/T,bidirectional
53,GND,power_in
54,PB18B/BANK2/C,bidirectional
55,PB23A/BANK2/T/PCLKT2_1,bidirectional
56,PB23B/BANK2/C/PCLKC2_1,bidirectional
57,PB26A/BANK2/T,bidirectional
58,PB26B/BANK2/C,bidirectional
59,PB29A/BANK2/T,bidirectional
60,PB29B/BANK2/C,bidirectional
61,PB31A/BANK2/T,bidirectional
62,PB31B/BANK2/C,bidirectional
63,PB31D/BANK2,bidirectional
64,GND,power_in
65,PB35A/BANK2/T,bidirectional
66,VCCIO2,power_in
67,PB35B/BANK2/C,bidirectional
68,PB37A/BANK2/T,bidirectional
69,PB37B/BANK2/C,bidirectional
70,PB38A/BANK2/T/SN,bidirectional
71,PB38B/BANK2/C/SI/SISPI,bidirectional
72,VCC,power_in
73,PR24B/BANK1/C/DQ1,bidirectional
74,PR24A/BANK1/T/DQ1,bidirectional
75,PR23B/BANK1/C/DQ1,bidirectional
76,PR23A/BANK1/T/DQ1,bidirectional
77,PR21B/BANK1/C/DQ1,bidirectional
78,PR21A/BANK1/T/DQ1,bidirectional
79,VCCIO1,power_in
80,GND,power_in
81,PR18B/BANK1/C/DQ1,bidirectional
82,PR18A/BANK1/T/DQ1,bidirectional
83,PR17B/BANK1/C/DQ1,bidirectional
84,PR17A/BANK1/T/DQ1,bidirectional
85,PR16B/BANK1/C/DQS1N,bidirectional
86,PR16A/BANK1/T/DQS1,bidirectional
87,PR15B/BANK1/C,bidirectional
88,VCCIO1,power_in
89,PR15A/BANK1/T,bidirectional
90,GND,power_in
91,PR12B/BANK1/C/PCLKC1_0/DQ0,bidirectional
92,PR12A/BANK1/T/PCLKT1_0/DQ0,bidirectional
93,PR11B/BANK1/C/DQS0N,bidirectional
94,PR11A/BANK1/T/DQS0,bidirectional
95,PR9B/BANK1/C/DQ0,bidirectional
96,PR9A/BANK1/T/DQ0,bidirectional
97,PR7B/BANK1/C/DQ0,bidirectional
98,PR7A/BANK1/T/DQ0,bidirectional
99,PR5B/BANK1/C/DQ0,bidirectional
100,PR5A/BANK1/T/DQ0,bidirectional
101,GND,power_in
102,VCCIO1,power_in
103,PR4C/BANK1,bidirectional
104,PR3B/BANK1/C/R_GPLLC_IN/DQ0,bidirectional
105,PR3A/BANK1/T/R_GPLLT_IN/DQ0,bidirectional
106,PR2B/BANK1/C/R_GPLLC_FB/DQ0,bidirectional
107,PR2A/BANK1/T/R_GPLLT_FB/DQ0,bidirectional
108,VCC,power_in
109,PT36D/BANK0/C/DONE,bidirectional
110,PT36C/BANK0/T/INITN,bidirectional
111,PT35B/BANK0/C/LVDS,bidirectional
112,PT35A/BANK0/T/LVDS,bidirectional
113,PT33B/BANK0/C/LVDS,bidirectional
114,PT33A/BANK0/T/LVDS,bidirectional
115,PT28B/BANK0/C/LVDS,bidirectional
116,GND,power_in
117,PT28A/BANK0/T/LVDS,bidirectional
118,VCCIO0,power_in
119,PT27D/BANK0/C/PROGRAMN,bidirectional
120,PT27C/BANK0/T/JTAGENB,bidirectional
121,PT25B/BANK0/C/LVDS,bidirectional
122,PT25A/BANK0/T/LVDS,bidirectional
123,VCCIO0,power_in
124,GND,power_in
125,PT22D/BANK0/C/SDA/PCLKC0_0,bidirectional
126,PT22C/BANK0/T/SCL/PCLKT0_0,bidirectional
127,PT18B/BANK0/C/PCLKC0_1/LVDS,bidirectional
128,PT18A/BANK0/T/PCLKT0_1/LVDS,bidirectional
130,PT17D/BANK0/C/TMS,bidirectional
131,PT17C/BANK0/T/TCK,bidirectional
132,PT15B/BANK0/C/LVDS,bidirectional
133,PT15A/BANK0/T/LVDS,bidirectional
134,GND,power_in
135,VCCIO0,power_in
136,PT14D/BANK0/C/TDI,bidirectional
137,PT14C/BANK0/T/TDO,bidirectional
138,PT11B/BANK0/C/LVDS,bidirectional
139,PT11A/BANK0/T/LVDS,bidirectional
140,PT10B/BANK0/C/LVDS,bidirectional
141,PT10A/BANK0/T/LVDS,bidirectional
142,PT9B/BANK0/C/LVDS,bidirectional
143,PT9A/BANK0/T/LVDS,bidirectional
144,VCC,power_in
