Ref,Val,Package,PosX,PosY,Rot,Side
"J2","CF socket","CF-Card_3M_N7E50-E516xx-30",111.430000,-116.840000,0.000000,bottom
"C1","100nF","C_0402_1005Metric",122.000000,-118.500000,90.000000,top
"C2","100nF","C_0402_1005Metric",127.000000,-118.500000,90.000000,top
"C3","100nF","C_0402_1005Metric",131.000000,-118.500000,90.000000,top
"C4","100nF","C_0402_1005Metric",138.000000,-123.000000,0.000000,top
"C5","4.7uF","C_0603_1608Metric",110.000000,-145.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",138.000000,-127.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",138.000000,-131.000000,0.000000,top
"C8","100nF","C_0402_1005Metric",116.500000,-123.500000,0.000000,top
"C9","100nF","C_0402_1005Metric",116.500000,-131.000000,0.000000,top
"C10","10uF","C_0805_2012Metric",110.000000,-149.000000,0.000000,top
"C11","100nF","C_0402_1005Metric",116.500000,-135.500000,0.000000,top
"C12","100nF","C_0402_1005Metric",122.000000,-139.500000,90.000000,top
"C13","100nF","C_0402_1005Metric",132.000000,-139.500000,90.000000,top
"C14","100nF","C_0402_1005Metric",138.000000,-135.000000,0.000000,top
"C15","1uF","C_0402_1005Metric",134.000000,-118.500000,90.000000,top
"C16","10uF","C_0805_2012Metric",114.000000,-145.000000,0.000000,top
"C17","1uF","C_0402_1005Metric",123.000000,-107.000000,90.000000,top
"C18","1uF","C_0402_1005Metric",133.000000,-107.000000,90.000000,top
"D1","LED","LED_0603_1608Metric",120.000000,-151.000000,0.000000,top
"J4","USB-C","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",128.000000,-94.400000,180.000000,top
"J5","UART","PinHeader_1x04_P1.27mm_Vertical_SMD_Pin1Left",150.000000,-112.000000,90.000000,top
"J6","PWR_SEL","PinHeader_1x03_P1.27mm_Vertical_SMD_Pin1Left",139.000000,-98.000000,90.000000,top
"R1","10k","R_0402_1005Metric",115.000000,-108.000000,90.000000,top
"R2","10k","R_0402_1005Metric",148.000000,-123.000000,90.000000,top
"R7","330R","R_0402_1005Metric",126.000000,-151.000000,0.000000,top
"R8","5.1k","R_0402_1005Metric",122.000000,-99.000000,90.000000,top
"R9","5.1k","R_0402_1005Metric",134.000000,-99.000000,90.000000,top
"U1","LCMXO2-2000HC-4TG100C","TQFP-100_14x14mm_P0.5mm",127.000000,-129.162500,-90.000000,top
"U2","AP2112K-3.3","SOT-23-5",128.000000,-107.000000,0.000000,top
